Sentence,Sentiment
"A UPM-Kymmene Corp., a maior fabricante de artigos de revistas do mundo, registrou na terça-feira uma queda de lucro de 19 % à medida que os preços mais baixos do papel, os custos mais altos e uma forte receita de prejudicação no euro.",negative
O valor total do contrato é de cerca de 8 milhões de euros.,neutral
"O pré -requisito para inclusão no programa e para o recebimento de qualquer ganhos é que os principais funcionários adquiram ações da ASPO ao valor determinado pelo Conselho com antecedência, no máximo.",neutral
O Sr. Doring está na Eaton desde 1989 e atuou como gerente de unidade de negócios da unidade de negócios de controles de energia da Eaton desde janeiro de 2007.,neutral
"A loja de 250 m² de 2.691 pés quadrados no principal distrito comercial de Copenhague foi inaugurada hoje, fortalecendo ainda mais a presença da empresa em capitais nórdicos.",positive
"Na demonstração financeira do primeiro trimestre de 2010, a Tikkurila é relatada em operações descontinuadas.",neutral
"A segunda maior fabricante de aço inoxidável do mundo disse que o lucro líquido no período de três meses até 31 de dezembro subiu para euro de 603 milhões de US $ 781 milhões, ou Euro3 .33 US $ 4,31 por ação, de Euro-172 milhões, ou Euro0 .94 porCompartilhar, no ano anterior.",positive
"Nome do candidato: JOT Automation Oyname of Inventor: Mammila Tuomo, Piirainen Mika e Kellokoski MikaApplication No.: 2424-KOLNP-2008 ADATO DE APRESENTAÇÃO DE APLICAÇÃO: 16-06-2008 Publicação Data: 30/01/2009",neutral
A Netflix aumenta os esforços para criar clientes fiéis $ nflx https://t.co/5qxbkobphe,positive
"O índice OMX Nordic 40 OMXN40, compreendendo as 40 ações nórdicas mais negociadas na Bolsa da Nasdaq OMX, fechou uma queda de 0,87 % em 1.064,14 pontos na quinta -feira.",negative
$ AAPL mordiscando em um pequeno longo via 525 .. comprando gráficos de 13 minutos ..,positive
"A margem operacional da Divisão de Cruzeiro e Ferries da Aker Yards caiu de 8,3 % para 6,4 % no primeiro trimestre de 2007.",negative
"$ Tyc está prestes a chegar a novos máximos, muitos técnicos parecendo ótimos agora.",positive
"Eero Katajavuori, atualmente vice-presidente do grupo de Recursos Humanos, levará um ano sabático a partir de 1 de outubro de 2010.",neutral
"O que há com $ lulu?Os números pareciam bons, não ótimos, mas bons.Eu acho que a teleconferência incutirá confiança.",neutral
As medidas de ajuste serão realizadas em fases para garantir a capacidade de entrega.,neutral
"O comunicado à imprensa da Alma Media Corporation, 15 de março de 2010, Tyrvaan Sanomat e Paikallissanomat que estão sendo comprados por Suomen Paikallissanomat, dois jornais locais, Tyrvaan Sanomat e Paikallissanomat, que aparecem em Sastamala e seus municípios vizinhos, são comprados por Suomen Paikallisnomat.",neutral
"As demissões temporárias, afetando toda a força de trabalho, também serão implementadas.",negative
"Uma reunião para a mídia e analistas será realizada no mesmo dia às 10:30 da manhã na sede da Stonesoft em Helsinque, Italahdenkatu 22 A. O relatório interino será apresentado pelo CEO da Stonesoft, Ilkka Hiidenheimo.",neutral
"A Sampo-Rosenlew finlandesa fabrica aproximadamente sete máquinas florestais mensalmente, e cerca de metade das máquinas são exportadas.",neutral
"Facebook, perto de um ponto de compra na semana passada, enfrenta um teste técnico diferente hoje https://t.co/c72llmpinm $ fb $ aapl $ nflx https://t.co/fpfbytypuy",positive
"4 de fevereiro de 2011 - O provedor de sistemas de comunicação de dados de banda larga finlandesa Teleste OYJ HEL: TLT1V disse na quarta -feira que seu lucro líquido aumentou para 4,8 m em 2010 em 2010, de 4416.000 em 2009 e elevou sua proposta de dividendos.",positive
$ Grátis ha heeeeere vem a bomba!Tão feliz que eu peguei 9k final do dia!Prepare -se para o passeio!,positive
"O Grupo de Tecnologia Finlandesa Aspocomp Group Oyj (OMX Helsinque: ACG1V) emitiu seu relatório do terceiro trimestre na quinta -feira (13 de novembro), registrando um lucro operacional de EUR0 0,4 m, em comparação com uma perda de EUR0 0,5 m no terceiro trimestre de 2007.",positive
"O complexo de construção consiste em escritórios de alta qualidade e espaço de varejo, totalizando 49.200 metros quadrados, informou a empresa.",neutral
A companhia de seguros finlandesa Fennia e Kesko Group estão encerrando sua cooperação fiel ao cliente.,neutral
A unidade está planejada para estar operacional durante o segundo semestre de 2007 e em pleno fluxo em 2008.,neutral
A participação da ITG no acordo é estimada em cerca de 500.000 euros US $ 627.000.,neutral
Espera-se que a planta entre em operação comercial até meados de 2009.,neutral
A ASPO também investigou as oportunidades de vendas do negócio de eletrônicos da Kaukomarkkinat.,neutral
O BG Group nomeia o novo CEO de um mês antes,neutral
A aquisição terá um impacto positivo imediato no resultado financeiro da Aspocomp.,positive
"O fator de carga de passageiros da Finnair, que mede o número de assentos vendidos como uma parte de todos os assentos disponíveis, caiu 1,3 pontos percentuais para 76,7 % em setembro.",negative
Rt @bman1 $ lng parece preparado também $ eght pronto para correr também ...,positive
"Também está 7,7 PCT acima do preço médio ponderado por volume de 12 meses.",positive
"Dividendo da Coca -Cola - 3%.Dividendo do Google - 0%.Para a renda passiva, a Coca -Cola leva isso.$ Goog $ ko https://t.co/qbsowjxost",neutral
"O lucro antes dos impostos foi de 5,4 milhões de euros, contra 3,6 milhões de euros no ano anterior.",positive
"A subsidiária está estabelecendo uma instalação para fabricar placas de circuito impressas de interconexão de alta densidade ou PCBs na zona econômica especial da Nokia em Sriperumbudur, perto de Chennai.",neutral
$ CRM Set 40 Chamadas são +35% desde a entrada #bang http://stks.co/dedm,positive
"Em janeiro-junho de 2010, a perda diluída por ação ficou em EUR0 .3 contra EUR0 .1 no primeiro semestre de 2009.",negative
"Rapala disse que estima que economize 1-2 mln Eur por ano, centralizando suas operações francesas em um local.",positive
$ Vmw recebeu um bom empurrão hoje após pequenos varredores de maio c esta manhã,positive
"Isso superou as previsões de consenso para obter ganhos de 0,21 euros por ação.",positive
Empréstimo de P&D).,neutral
"No futuro, a empresa pretende procurar know-how de fora da empresa e cooperar com outros atores do setor.",positive
"Você precisa estar pronto quando a janela se abrir, disse Rosberg.",neutral
Mais de 50.000 toneladas de mix de asfalto serão usadas no contrato.,neutral
"PA), JPMorgan Chase e Co (NYSE: JPM) e Pohjoa Bank são gerentes de líderes conjuntos no acordo sênior e não garantido.",neutral
$ Ctrp quebrando aqui no Good Vol e um sinal de compra de analisador.,positive
"As vendas na Finlândia diminuíram 10,5 % em janeiro, enquanto as vendas fora da Finlândia caíram 17 %.",neutral
A produção de celulose no Kemij+ñrvi finlandesa também será liquidada e cerca de 1.100 funcionários perderão seus empregos.,negative
Nordea era o mais barato também para um casal de 30 anos com dívidas.,neutral
"Jussi Pesonen, membro do Sampo Board desde 2006, renunciará a seu assento no Sampo Board.",neutral
Tesla está se lembrando de 2.700 carros modelo x: https://t.co/8z7bkvstl9 $ tsla,negative
"Ajustado para alterações na estrutura do grupo, as vendas líquidas da divisão aumentaram 1,7 %.",positive
"Tornando as coisas mais difíceis, a empresa disse que está lidando com preços mais altos de petróleo e gás, que aumentaram o custo de energia, matérias -primas e transporte.",neutral
A alteração da proposta simplifica o plano proposto e aumenta o incentivo para os principais funcionários permanecerem na empresa.,positive
A solução agora será expandida para incluir todas as tarefas da equipe do solo.,neutral
"A perda operacional totalizou 3,2 milhões de euros, em comparação com um lucro de 7,2 milhões de euros no terceiro trimestre de 2008.",negative
"No #Fedday, procurando um movimentado acentuado em ações $ aapl $ hd $ baixo $ fb vendo $ uvxy $ tvix sendo martelado, mesmo que o mercado esteja inativo.",positive
"As vendas líquidas totalizaram 93,6 euros, contra 93,2 milhões de euros no período correspondente em 2005.",positive
"Como conseqüência, o conselho de obras retirou sua petição para suspender a reorganização.",neutral
O CEO Erkki J+ñrvinen está feliz com a performance da empresa em 2010.,positive
"Espera -se que as vendas líquidas comparáveis ​​aumentem mais de 10 % em 2008, de acordo com a meta de grupo.",positive
"Após a transação, Lundbeck tem direitos mundiais para Nalmefene, excluindo a América do Norte, México, Turquia e South-Coréia.",positive
"O governo iniciou a venda no mês passado, colocando uma participação de 8 % na TeliaSonera no bloco de leilão.",neutral
O relatório continua fornecendo perfis detalhados de dez principais empresas de produtos químicos especializados europeus e breves perfis de outros principais players.,neutral
"Tanto o lucro operacional quanto as vendas líquidas para o período de três meses aumentaram, respectivamente, de 16,0 me euros e euros, em comparação com o trimestre correspondente em 2006.",positive
A empresa espera que suas vendas líquidas para todo o 2009 estejam nos níveis do ano anterior.,neutral
"A empresa está sediada em Sievi, Finlândia, e está listada no Nordic Exchange em Helsinque.",neutral
"A renda da comissão aumentou 22 %, para 4,4 milhões de euros, e o volume de empréstimos aumentou 13,5 %.",positive
"A empresa finlandesa vendeu sua operação no Reino Unido - composta por 50 funcionários em escritórios em Londres, Birmingham e Manchester - como parte de um acordo com a Hampden em julho de 2001 por suas propriedades em toda a Europa e ARM Sampo Industrial.",neutral
"No comércio de melhoria de edifícios e residências, as vendas diminuíram 22,5 % para EUR 201,4 MN.",negative
"O edifício Innova 2 estará localizado perto do centro da cidade, nas proximidades imediatas de Paviljonki e do centro de viagens, e a uma curta distância do coração da cidade, graças à Feira da Feira da Feira.",neutral
"O grupo de têxteis e roupas finlandesas Marimekko Oyj registrou um lucro líquido de 7,99 mln euro $ 10,4 mln para 2006, em comparação com 8,4 mln euro $ 10,9 mln para 2005.",neutral
A principal força do projeto de cooperação está na fusão do know-how de duas grandes empresas.,positive
Os acionistas têm o direito de colocar a agenda dos itens da AGM que estão dentro da competência da reunião geral.,neutral
KazgiprotsVetMet e OUTOTEC Finlândia assinaram um acordo sobre cooperação estratégica no marketing e fornecendo processamento de minerais e plantas metalúrgicas e serviços relacionados no Cazaquistão e nos países vizinhos.,positive
"Devido à rápida diminuição das vendas líquidas, foram realizadas reduções de pessoal em uma escala mais ampla do que o inicialmente esperado.",neutral
"Em vez disso, o governo propôs uma troca da participação do estado na LMT à participação da Teliasonera em Lattlecom.",neutral
A STORA deve divulgar seus ganhos no quarto trimestre e 2009 em 4 de fevereiro.,neutral
"O resultado operacional do ano inteiro para 2008 foi de 3,6 milhões negativos.",neutral
"$ Nq foi atingido com força abaixo da AM -> Parece que encontrou suporte a um suporte de 18,89 http://stks.co/s052z",negative
"Em 2008, a AVC Systemhaus teve vendas líquidas de 10 milhões de euros 7,1 m.",neutral
"A empresa estabeleceu uma estação base 3G a cerca de 17.000 pés no sopé do Monte Everest, que permitirá que os alpinistas de montanhas no cume de 29.035 pés surfam na Internet e até enviem vídeos de suas façanhas.",positive
Oferecemos soluções de nossos clientes com base em matérias -primas renováveis.,neutral
Uma pesquisa realizada pela Taloustutkimus para a Sampo Life mostra que as empresas estão mal preparadas para perder os principais funcionários.,neutral
"Antti Orkola, presidente da Unidade de Soluções Industriais de Kemira Growhow, disse à Thomson Financial News que a empresa adiou a abertura da mina, pois os preços do fosfato estão ""bastante deprimidos há muito tempo"".'",neutral
O lucro antes dos impostos dos negócios de seguro de vida do grupo aumentou para 36 milhões de euros de 27 milhões de euros.,positive
Disponibilizamos o seguinte novo mercado de análise - cimento Paquistão - Cimento da Malásia - Cimento de Taiwan - Filipinas Essas análises fornecem uma visão clara da situação real e das perspectivas futuras da indústria de cimento em alguns países asiáticos.,neutral
A empresa atende aproximadamente 3.000 clientes em mais de 100 países.,neutral
RT @alphatrends Os Vmarkets ainda estão agindo fracos http://stks.co/1agn $ spy $ qqq $ xlf $ smh $ iwm,negative
"O lucro operacional totalizou 30,2 milhões de euros, abaixo dos 43,8 milhões de euros no ano anterior.",neutral
"Um dos elevadores instalados será um elevador de dois andares, que permite o uso mais eficiente do espaço principal do edifício.",positive
"HELSINKI (AFX) - O Outokumpu disse que concordou em vender a mina de Hitura Nickel na Finlândia para o grupo canadense Belvedere Resources Ltd por 10 mln Eur, no valor de ações da Belvedere.",neutral
Apenas fui longo $ ilmn,positive
`` As redes sociais e as tendências de serviço baseadas em localização compreendem uma parcela significativa do tráfego da Internet hoje e estão apelando para os usuários médios.,neutral
Um total de 30 % do valor do pedido foi reservado no quarto trimestre de 2009 e o restante será reservado no segundo trimestre de 2010.,neutral
"Johnson Matthey as quedas do preço das ações, à medida que a empresa publica resultados do ano inteiro",negative
Não houve assinaturas de ações anteriores com as opções de ações de 2004.,neutral
O AffetogenIMAP cria soluções de TI altamente personalizadas para seus clientes na Finlândia e nos países Bálticos.,neutral
O fechamento da transação está programado para ocorrer em 10 de janeiro de 2008.,neutral
"No entanto, a oferta provavelmente não será feita na avaliação atual, que deriva em parte do acordo em que a empresa foi mesclada em uma concha do mercado de ações.",neutral
"O resultado operacional para o período de 12 meses diminuiu com o lucro de EUR0 0,4 m, enquanto a rotatividade diminuiu de 5,6 m, em comparação com 2004.",neutral
Os administradores indicaram a necessidade de 900 cortes na seguradora irlandesa nos próximos 15 meses.,neutral
Espera -se que as vendas líquidas em 2008 estejam no mesmo nível que em 2007.,neutral
Os indicadores técnicos para o estoque são otimistas e a S&P oferece à Nok uma ranking positiva de 4 estrelas em 5 compras.,positive
"A receita do trimestre totalizou 27,4 bilhões, queda de 2 % em 28,1 bilhões no quarto trimestre de 2008.",negative
A N-VIRO opera instalações de processamento de forma independente e em parceria com os municípios.,neutral
O número de casos de lesão corporal quadruplicou em 2000-2006.,negative
"Segundo o Ringman, as empresas de papel finlandês adquiriram know-how e capacidade na reciclagem de papel, que acabou sendo uma estratégia bem-sucedida.",positive
A empresa também disse que na Polônia um programa de rentabilidade foi lançado na estrutura de aço Oborniki e na fábrica do painel de sanduíches.,positive
E os executivos de energia dos EUA dizem que os altos preços do aço estão ameaçando a exploração de energia.,negative
A ascensão da Tesco Sales mostra que a recuperação tentativa continua,positive
"Na Finlândia, o lançamento de vendas de tie-in de telefones celulares 3G não causou uma corrida dramática nos pontos de venda móveis durante os primeiros dias.",neutral
$ Nuan se manteve bem após os grandes ganhos!Talvez finalmente estamos em movimento sobre isso !! ainda está muito subvalorizado e tem grande vantagem,positive
"A empresa pode ser dividida em duas partes nos próximos meses, com a Propriedade e o Operações da Essent e o fornecimento e a Enexis possuindo e operando a grade.",neutral
Os funcionários não divulgaram o valor do contrato.,neutral
"As ações principais de Londres hoje saltaram quase 100 pontos, ou 1,7 %, quando o mercado foi aberto.",positive
